"","player_name","team_name","action_type","shot_zone_range","shot_zone","shot_type"
"709","Stephen Curry","Golden State Warriors","Jump Shot","16-24 ft.",3,"Jump"
"710","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"711","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"712","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"713","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"714","Stephen Curry","Golden State Warriors","Running Layup Shot","Less Than 8 ft.",1,"Layup"
"715","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"716","Stephen Curry","Golden State Warriors","Layup Shot","Less Than 8 ft.",1,"Layup"
"717","Stephen Curry","Golden State Warriors","Step Back Jump shot","16-24 ft.",3,"Jump"
"718","Stephen Curry","Golden State Warriors","Floating Jump shot","8-16 ft.",2,"Jump"
"719","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"720","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"721","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"722","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"723","Stephen Curry","Golden State Warriors","Jump Shot","16-24 ft.",3,"Jump"
"724","Stephen Curry","Golden State Warriors","Layup Shot","Less Than 8 ft.",1,"Layup"
"725","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"726","Stephen Curry","Golden State Warriors","Step Back Jump shot","8-16 ft.",2,"Jump"
"727","Stephen Curry","Golden State Warriors","Pullup Jump shot","16-24 ft.",3,"Jump"
"728","Stephen Curry","Golden State Warriors","Floating Jump shot","Less Than 8 ft.",1,"Jump"
"729","Stephen Curry","Golden State Warriors","Pullup Jump shot","24+ ft.",4,"Jump"
"730","Stephen Curry","Golden State Warriors","Pullup Jump shot","24+ ft.",4,"Jump"
"731","Stephen Curry","Golden State Warriors","Driving Layup Shot","Less Than 8 ft.",1,"Layup"
"732","Stephen Curry","Golden State Warriors","Driving Reverse Layup Shot","Less Than 8 ft.",1,"Layup"
"733","Stephen Curry","Golden State Warriors","Pullup Jump shot","16-24 ft.",3,"Jump"
"734","Stephen Curry","Golden State Warriors","Step Back Jump shot","24+ ft.",4,"Jump"
"735","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"736","Stephen Curry","Golden State Warriors","Pullup Jump shot","24+ ft.",4,"Jump"
"737","Stephen Curry","Golden State Warriors","Turnaround Hook Shot","8-16 ft.",2,"Others"
"738","Stephen Curry","Golden State Warriors","Step Back Jump shot","24+ ft.",4,"Jump"
"739","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"740","Stephen Curry","Golden State Warriors","Pullup Jump shot","Back Court Shot",0,"Jump"
"741","Stephen Curry","Golden State Warriors","Pullup Jump shot","24+ ft.",4,"Jump"
"742","Stephen Curry","Golden State Warriors","Driving Reverse Layup Shot","Less Than 8 ft.",1,"Layup"
"743","Stephen Curry","Golden State Warriors","Pullup Jump shot","8-16 ft.",2,"Jump"
"744","Stephen Curry","Golden State Warriors","Jump Shot","16-24 ft.",3,"Jump"
"745","Stephen Curry","Golden State Warriors","Jump Shot","8-16 ft.",2,"Jump"
"746","Stephen Curry","Golden State Warriors","Jump Shot","Less Than 8 ft.",1,"Jump"
"747","Stephen Curry","Golden State Warriors","Running Bank shot","16-24 ft.",3,"Bank"
"748","Stephen Curry","Golden State Warriors","Step Back Jump shot","16-24 ft.",3,"Jump"
"749","Stephen Curry","Golden State Warriors","Driving Layup Shot","Less Than 8 ft.",1,"Layup"
"750","Stephen Curry","Golden State Warriors","Layup Shot","Less Than 8 ft.",1,"Layup"
"751","Stephen Curry","Golden State Warriors","Layup Shot","Less Than 8 ft.",1,"Layup"
"752","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"753","Stephen Curry","Golden State Warriors","Driving Layup Shot","Less Than 8 ft.",1,"Layup"
"754","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"755","Stephen Curry","Golden State Warriors","Jump Shot","16-24 ft.",3,"Jump"
"756","Stephen Curry","Golden State Warriors","Reverse Layup Shot","Less Than 8 ft.",1,"Layup"
"757","Stephen Curry","Golden State Warriors","Running Jump Shot","Less Than 8 ft.",1,"Jump"
"758","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"759","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"760","Stephen Curry","Golden State Warriors","Floating Jump shot","8-16 ft.",2,"Jump"
"761","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"762","Stephen Curry","Golden State Warriors","Jump Shot","16-24 ft.",3,"Jump"
"763","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"764","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"765","Stephen Curry","Golden State Warriors","Jump Shot","Less Than 8 ft.",1,"Jump"
"766","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"767","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"768","Stephen Curry","Golden State Warriors","Jump Shot","16-24 ft.",3,"Jump"
"769","Stephen Curry","Golden State Warriors","Jump Shot","16-24 ft.",3,"Jump"
"770","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"771","Stephen Curry","Golden State Warriors","Step Back Jump shot","24+ ft.",4,"Jump"
"772","Stephen Curry","Golden State Warriors","Fadeaway Jump Shot","16-24 ft.",3,"Jump"
"773","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"774","Stephen Curry","Golden State Warriors","Driving Finger Roll Layup Shot","Less Than 8 ft.",1,"Layup"
"775","Stephen Curry","Golden State Warriors","Running Finger Roll Layup Shot","Less Than 8 ft.",1,"Layup"
"776","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"777","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"778","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"779","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"780","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"781","Stephen Curry","Golden State Warriors","Jump Shot","Less Than 8 ft.",1,"Jump"
"782","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"783","Stephen Curry","Golden State Warriors","Floating Jump shot","8-16 ft.",2,"Jump"
"784","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"785","Stephen Curry","Golden State Warriors","Step Back Jump shot","16-24 ft.",3,"Jump"
"786","Stephen Curry","Golden State Warriors","Step Back Jump shot","24+ ft.",4,"Jump"
"787","Stephen Curry","Golden State Warriors","Floating Jump shot","8-16 ft.",2,"Jump"
"788","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"789","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"790","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"791","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"792","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"793","Stephen Curry","Golden State Warriors","Pullup Jump shot","16-24 ft.",3,"Jump"
"794","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"795","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"796","Stephen Curry","Golden State Warriors","Driving Layup Shot","Less Than 8 ft.",1,"Layup"
"797","Stephen Curry","Golden State Warriors","Running Layup Shot","Less Than 8 ft.",1,"Layup"
"798","Stephen Curry","Golden State Warriors","Driving Layup Shot","Less Than 8 ft.",1,"Layup"
"799","Stephen Curry","Golden State Warriors","Driving Layup Shot","Less Than 8 ft.",1,"Layup"
"800","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"801","Stephen Curry","Golden State Warriors","Floating Jump shot","Less Than 8 ft.",1,"Jump"
"802","Stephen Curry","Golden State Warriors","Pullup Bank shot","24+ ft.",4,"Bank"
"803","Stephen Curry","Golden State Warriors","Pullup Jump shot","24+ ft.",4,"Jump"
"804","Stephen Curry","Golden State Warriors","Driving Layup Shot","Less Than 8 ft.",1,"Layup"
"805","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"806","Stephen Curry","Golden State Warriors","Pullup Jump shot","16-24 ft.",3,"Jump"
"807","Stephen Curry","Golden State Warriors","Driving Layup Shot","Less Than 8 ft.",1,"Layup"
"808","Stephen Curry","Golden State Warriors","Running Reverse Layup Shot","Less Than 8 ft.",1,"Layup"
"809","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"810","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"811","Stephen Curry","Golden State Warriors","Jump Bank Shot","8-16 ft.",2,"Bank"
"812","Stephen Curry","Golden State Warriors","Jump Shot","16-24 ft.",3,"Jump"
"813","Stephen Curry","Golden State Warriors","Driving Layup Shot","Less Than 8 ft.",1,"Layup"
"814","Stephen Curry","Golden State Warriors","Driving Finger Roll Layup Shot","Less Than 8 ft.",1,"Layup"
"815","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"816","Stephen Curry","Golden State Warriors","Running Jump Shot","Back Court Shot",0,"Jump"
"817","Stephen Curry","Golden State Warriors","Pullup Jump shot","24+ ft.",4,"Jump"
"818","Stephen Curry","Golden State Warriors","Driving Layup Shot","Less Than 8 ft.",1,"Layup"
"819","Stephen Curry","Golden State Warriors","Jump Bank Shot","24+ ft.",4,"Bank"
"820","Stephen Curry","Golden State Warriors","Driving Layup Shot","Less Than 8 ft.",1,"Layup"
"821","Stephen Curry","Golden State Warriors","Jump Shot","8-16 ft.",2,"Jump"
"822","Stephen Curry","Golden State Warriors","Jump Shot","16-24 ft.",3,"Jump"
"823","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"824","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"825","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"826","Stephen Curry","Golden State Warriors","Driving Layup Shot","Less Than 8 ft.",1,"Layup"
