"","player_id","player_name","player_last_team_id","player_last_team_abbreviation","age","gp","g","fga_frequency","fgm","fga","fg_pct","efg_pct","fg2a_frequency","fg2m","fg2a","fg2_pct","fg3a_frequency","fg3m","fg3a","fg3_pct"
"79","2561","David West","1610612754","IND","34","66","14","0.022","12","15","0.8","0.8","0.022","12","15","0.8","0","0","0","2744"
"80","Al Jefferson","1610612766","CHA","30","65","10","0.015","10","15","0.667","0.667","0.015","10","15","0.667","0","0","0","202335","Patrick Patterson"
"81","1610612761","TOR","26","81","11","0.028","8","15","0.533","0.533","0.028","8","15","0.533","0","0","0","203486","Mason Plumlee","1610612751"
"82","BKN","25","82","13","0.033","7","15","0.467","0.467","0.033","7","15","0.467","0","0","0","2365","Chris Andersen","1610612748","MIA"
"83","36","59","12","0.071","11","14","0.786","0.786","0.071","11","14","0.786","0","0","0","200794","Paul Millsap","1610612737","ATL","30"
"84","73","13","0.015","10","14","0.714","0.714","0.015","10","14","0.714","0","0","0","201163","Wilson Chandler","1610612743","DEN","28","78"
"85","14","0.014","9","14","0.643","0.643","0.014","9","14","0.643","0","0","0","203093","Terrence Jones","1610612745","HOU","23","33","9"
"86","0.047","9","14","0.643","0.643","0.047","9","14","0.643","0","0","0","203506","Victor Oladipo","1610612753","ORL","23","72","14","0.013"
"87","9","14","0.643","0.643","0.013","9","14","0.643","0","0","0","202498","Lance Thomas","1610612752","NYK","27","61","10","0.035","8"
"88","14","0.571","0.571","0.035","8","14","0.571","0","0","0","203461","Anthony Bennett","1610612750","MIN","22","56","11","0.047","8","14"
"89","0.571","0.571","0.047","8","14","0.571","0","0","0","201980","Danny Green","1610612759","SAS","28","81","9","0.019","7","14","0.5"
"90","0.5","0.019","7","14","0.5","0","0","0","2555","Nick Collison","1610612760","OKC","34","66","12","0.056","6","14","0.429","0.429"
"91","0.056","6","14","0.429","0","0","0","201601","Luc Mbah a Moute","1610612755","PHI","28","67","13","0.023","5","14","0.357","0.357","0.021"
"92","5","13","0.385","0.002","0","1","0","2546","Carmelo Anthony","1610612752","NYK","31","39","10","0.018","4","14","0.286","0.286","0.018"
"93","4","14","0.286","0","0","0","2754","Tony Allen","1610612763","MEM","33","63","13","0.029","9","13","0.692","0.692","0.029","9"
"94","13","0.692","0","0","0","2585","Zaza Pachulia","1610612749","MIL","31","72","12","0.026","9","13","0.692","0.692","0.026","9","13"
"95","0.692","0","0","0","201143","Al Horford","1610612737","ATL","29","76","9","0.014","8","13","0.615","0.615","0.014","8","13","0.615"
"96","0","0","0","2570","Kendrick Perkins","1610612739","CLE","30","68","11","0.058","7","13","0.538","0.538","0.058","7","13","0.538","0"
"97","0","0","101135","David Lee","1610612744","GSW","32","49","10","0.042","6","13","0.462","0.462","0.042","6","13","0.462","0","0"
"98","0","202693","Markieff Morris","1610612756","PHX","25","82","11","0.012","5","13","0.385","0.385","0.012","5","13","0.385","0","0","0"
"99","2736","Luol Deng","1610612748","MIA","30","71","12","0.017","5","13","0.385","0.385","0.017","5","13","0.385","0","0","0","203507"
"100","Giannis Antetokounmpo","1610612749","MIL","20","80","12","0.017","5","13","0.385","0.385","0.017","5","13","0.385","0","0","0","200757","Thabo Sefolosha"
"101","1610612737","ATL","31","52","8","0.053","5","13","0.385","0.385","0.053","5","13","0.385","0","0","0","201171","Carl Landry","1610612758"
"102","SAC","31","70","10","0.036","5","13","0.385","0.385","0.036","5","13","0.385","0","0","0","203101","Miles Plumlee","1610612749","MIL"
"103","26","73","11","0.053","4","13","0.308","0.308","0.053","4","13","0.308","0","0","0","101138","Brandon Bass","1610612738","BOS","30"
"104","82","11","0.018","9","12","0.75","0.75","0.018","9","12","0.75","0","0","0","203909","KJ McDaniels","1610612745","HOU","22","62"
"105","11","0.028","8","12","0.667","0.667","0.028","8","12","0.667","0","0","0","200782","PJ Tucker","1610612756","PHX","30","78","11"
"106","0.02","7","12","0.583","0.583","0.02","7","12","0.583","0","0","0","203524","Solomon Hill","1610612754","IND","24","82","9","0.019"
"107","7","12","0.583","0.583","0.019","7","12","0.583","0","0","0","203932","Aaron Gordon","1610612753","ORL","19","47","9","0.058","7"
"108","12","0.583","0.583","0.058","7","12","0.583","0","0","0","201168","Tiago Splitter","1610612759","SAS","30","52","11","0.04","7","12"
"109","0.583","0.583","0.04","7","12","0.583","0","0","0","201585","Kosta Koufos","1610612763","MEM","26","81","10","0.034","7","12","0.583"
"110","0.583","0.034","7","12","0.583","0","0","0","202694","Marcus Morris","1610612756","PHX","25","81","11","0.016","6","12","0.5","0.5"
"111","0.016","6","12","0.5","0","0","0","2564","Boris Diaw","1610612759","SAS","33","81","9","0.019","4","12","0.333","0.333","0.019"
"112","4","12","0.333","0","0","0","203084","Harrison Barnes","1610612744","GSW","23","82","11","0.019","4","12","0.333","0.333","0.019","4"
"113","12","0.333","0","0","0","203496","Robert Covington","1610612755","PHI","24","70","12","0.016","4","12","0.333","0.333","0.016","4","12"
"114","0.333","0","0","0","203487","Michael Carter-Williams","1610612749","MIL","23","66","9","0.012","8","11","0.727","0.727","0.012","8","11","0.727"
"115","0","0","0","203077","Michael Kidd-Gilchrist","1610612766","CHA","21","55","11","0.023","7","11","0.636","0.636","0.023","7","11","0.636","0"
"116","0","0","201973","Jonas Jerebko","1610612738","BOS","28","75","10","0.029","5","11","0.455","0.455","0.029","5","11","0.455","0","0"
"117","0","201567","Kevin Love","1610612739","CLE","26","74","11","0.012","5","11","0.455","0.455","0.012","5","11","0.455","0","0","0"
"118","203120","Justin Hamilton","1610612750","MIN","25","41","9","0.062","5","11","0.455","0.455","0.062","5","11","0.455","0","0","0","202332"
"119","Cole Aldrich","1610612752","NYK","26","60","8","0.034","7","10","0.7","0.7","0.034","7","10","0.7","0","0","0","201949","James Johnson"
"120","1610612761","TOR","28","70","10","0.025","6","10","0.6","0.6","0.025","6","10","0.6","0","0","0","201960","DeMarre Carroll","1610612737"
"121","ATL","28","70","9","0.016","6","10","0.6","0.6","0.016","6","10","0.6","0","0","0","201609","Goran Dragic","1610612748","MIA"
"122","29","78","9","0.01","4","10","0.4","0.4","0.01","4","10","0.4","0","0","0","201936","Tyreke Evans","1610612740","NOP","25"
