"player","player_name"
200794,"Paul Millsap"
200811,"Lou Amundson"
200826,"Jose Juan Barea"
201142,"Kevin Durant"
201143,"Al Horford"
201144,"Mike Conley"
201145,"Jeff Green"
201147,"Corey Brewer"
201148,"Brandan Wright"
201149,"Joakim Noah"
201150,"Spencer Hawes"
201152,"Thaddeus Young"
201155,"Rodney Stuckey"
201156,"Nick Young"
201158,"Marco Belinelli"
201162,"Jared Dudley"
201163,"Wilson Chandler"
201166,"Aaron Brooks"
201167,"Arron Afflalo"
201168,"Tiago Splitter"
201171,"Carl Landry"
201188,"Marc Gasol"
201228,"CJ Watson"
201229,"Anthony Tolliver"
201564,"O.J. Mayo"
201565,"Derrick Rose"
201566,"Russell Westbrook"
201567,"Kevin Love"
201568,"Danilo Gallinari"
201569,"Eric Gordon"
201571,"D.J. Augustin"
201572,"Brook Lopez"
201573,"Jerryd Bayless"
201574,"Jason Thompson"
201577,"Robin Lopez"
201578,"Marreese Speights"
201579,"Roy Hibbert"
201581,"JJ Hickson"
201583,"Ryan Anderson"
201584,"Courtney Lee"
201585,"Kosta Koufos"
201586,"Serge Ibaka"
201587,"Nicolas Batum"
201588,"George Hill"
201599,"DeAndre Jordan"
201600,"Omer Asik"
201601,"Luc Mbah a Moute"
201609,"Goran Dragic"
201933,"Blake Griffin"
201935,"James Harden"
201936,"Tyreke Evans"
201939,"Stephen Curry"
201941,"Jordan Hill"
201942,"DeMar DeRozan"
201943,"Brandon Jennings"
201945,"Gerald Henderson"
201946,"Tyler Hansbrough"
201949,"James Johnson"
201950,"Jrue Holiday"
201951,"Ty Lawson"
201952,"Jeff Teague"
201954,"Darren Collison"
201956,"Omri Casspi"
201959,"Taj Gibson"
201960,"DeMarre Carroll"
201961,"Wayne Ellington"
201967,"Dante Cunningham"
201973,"Jonas Jerebko"
201975,"Jodie Meeks"
201976,"Patrick Beverley"
201978,"Chase Budinger"
201980,"Danny Green"
202066,"Garrett Temple"
202083,"Wesley Matthews"
202322,"John Wall"
202323,"Evan Turner"
202324,"Derrick Favors"
202325,"Wesley Johnson"
202326,"DeMarcus Cousins"
202328,"Greg Monroe"
202329,"Al-Farouq Aminu"
202330,"Gordon Hayward"
202334,"Ed Davis"
202335,"Patrick Patterson"
202337,"Luke Babbitt"
202338,"Kevin Seraphin"
202339,"Eric Bledsoe"
202340,"Avery Bradley"
202344,"Trevor Booker"
202347,"Quincy Pondexter"
202349,"Greivis Vasquez"
202355,"Hassan Whiteside"
202362,"Lance Stephenson"
202388,"Donald Sloan"
202389,"Timofey Mozgov"
202391,"Jeremy Lin"
202407,"Elijah Millsap"
202498,"Lance Thomas"
202681,"Kyrie Irving"
202682,"Derrick Williams"
202683,"Enes Kanter"
202684,"Tristan Thompson"
202685,"Jonas Valanciunas"
202687,"Bismack Biyombo"
202688,"Brandon Knight"
202689,"Kemba Walker"
202691,"Klay Thompson"
202692,"Alec Burks"
202693,"Markieff Morris"
202694,"Marcus Morris"
202695,"Kawhi Leonard"
202696,"Nikola Vucevic"
202697,"Iman Shumpert"
202699,"Tobias Harris"
202700,"Donatas Motiejunas"
202702,"Kenneth Faried"
202703,"Nikola Mirotic"
202704,"Reggie Jackson"
202709,"Cory Joseph"
202710,"Jimmy Butler"
202711,"Bojan Bogdanovic"
202713,"Kyle Singler"
202718,"Chandler Parsons"
202720,"Jon Leuer"
202738,"Isaiah Thomas"
203076,"Anthony Davis"
203077,"Michael Kidd-Gilchrist"
203078,"Bradley Beal"
203079,"Dion Waiters"
203081,"Damian Lillard"
203082,"Terrence Ross"
203083,"Andre Drummond"
203084,"Harrison Barnes"
203085,"Austin Rivers"
203089,"John Henson"
203092,"Tyler Zeller"
203093,"Terrence Jones"
203095,"Evan Fournier"
203096,"Jared Sullinger"
203101,"Miles Plumlee"
203105,"Festus Ezeli"
203109,"Jae Crowder"
203110,"Draymond Green"
203114,"Khris Middleton"
203118,"Mike Scott"
203124,"Kyle O'Quinn"
203135,"Robert Sacre"
203138,"Hollis Thompson"
203141,"Mirza Teletovic"
203142,"Chris Copeland"
203145,"Kent Bazemore"
203382,"Aron Baynes"
203457,"Nerlens Noel"
203458,"Alex Len"
203460,"Andre Roberson"
203463,"Ben McLemore"
203469,"Cody Zeller"
203471,"Dennis Schroder"
203473,"Dewayne Dedmon"
203476,"Gorgui Dieng"
203482,"Kelly Olynyk"
203484,"Kentavious Caldwell-Pope"
203486,"Mason Plumlee"
203487,"Michael Carter-Williams"
203490,"Otto Porter"
203492,"Ray McCallum"
203496,"Robert Covington"
203497,"Rudy Gobert"
203498,"Shabazz Muhammad"
203499,"Shane Larkin"
203500,"Steven Adams"
203503,"Tony Snell"
203504,"Trey Burke"
203506,"Victor Oladipo"
203507,"Giannis Antetokounmpo"
203521,"Matthew Dellavedova"
203524,"Solomon Hill"
203897,"Zach LaVine"
203900,"Markel Brown"
203901,"Elfrid Payton"
203909,"KJ McDaniels"
203918,"Rodney Hood"
203932,"Aaron Gordon"
203935,"Marcus Smart"
203952,"Andrew Wiggins"
203953,"Jabari Parker"
203957,"Dante Exum"
203994,"Jusuf Nurkic"
204014,"Damjan Rudez"
204028,"Tarik Black"
204038,"Langston Galloway"
204060,"Joe Ingles"
