person_id,display_last_comma_first,display_first_last,rosterstatus,from_year,to_year,playercode,team_id,team_city,team_name,team_abbreviation,team_code,games_played_flag
977,Bryant, Kobe,Kobe Bryant,TRUE,1996,2015,kobe_bryant,1610612747,Los Angeles,Lakers,LAL,lakers,Y
201978,Budinger, Chase,Chase Budinger,TRUE,2009,2015,chase_budinger,1610612756,Phoenix,Suns,PHX,suns,Y
203493,Bullock, Reggie,Reggie Bullock,TRUE,2013,2015,reggie_bullock,1610612765,Detroit,Pistons,DET,pistons,Y
203504,Burke, Trey,Trey Burke,TRUE,2013,2015,trey_burke,1610612762,Utah,Jazz,UTA,jazz,Y
202692,Burks, Alec,Alec Burks,TRUE,2011,2015,alec_burks,1610612762,Utah,Jazz,UTA,jazz,Y
2406,Butler, Caron,Caron Butler,TRUE,2002,2015,caron_butler,1610612758,Sacramento,Kings,SAC,kings,Y
202710,Butler, Jimmy,Jimmy Butler,TRUE,2011,2015,jimmy_butler,1610612741,Chicago,Bulls,CHI,bulls,Y
203998,Caboclo, Bruno,Bruno Caboclo,TRUE,2014,2015,bruno_caboclo,1610612761,Toronto,Raptors,TOR,raptors,Y
101181,Calderon, Jose,Jose Calderon,TRUE,2005,2015,jose_calderon,1610612752,New York,Knicks,NYK,knicks,Y
203484,Caldwell-Pope, Kentavious,Kentavious Caldwell-Pope,TRUE,2013,2015,kentavious_caldwell-pope,1610612765,Detroit,Pistons,DET,pistons,Y
203477,Canaan, Isaiah,Isaiah Canaan,TRUE,2013,2015,isaiah_canaan,1610612755,Philadelphia,76ers,PHI,sixers,Y
203991,Capela, Clint,Clint Capela,TRUE,2014,2015,clint_capela,1610612745,Houston,Rockets,HOU,rockets,Y
201960,Carroll, DeMarre,DeMarre Carroll,TRUE,2009,2015,demarre_carroll,1610612761,Toronto,Raptors,TOR,raptors,Y
1713,Carter, Vince,Vince Carter,TRUE,1998,2015,vince_carter,1610612763,Memphis,Grizzlies,MEM,grizzlies,Y
203487,Carter-Williams, Michael,Michael Carter-Williams,TRUE,2013,2015,michael_carter-williams,1610612749,Milwaukee,Bucks,MIL,bucks,Y
201956,Casspi, Omri,Omri Casspi,TRUE,2009,2015,omri_casspi,1610612758,Sacramento,Kings,SAC,kings,Y
1626161,Cauley-Stein, Willie,Willie Cauley-Stein,TRUE,2015,2015,willie_cauley-stein,1610612758,Sacramento,Kings,SAC,kings,Y
2199,Chandler, Tyson,Tyson Chandler,TRUE,2001,2015,tyson_chandler,1610612756,Phoenix,Suns,PHX,suns,Y
201163,Chandler, Wilson,Wilson Chandler,TRUE,2007,2015,wilson_chandler,1610612743,Denver,Nuggets,DEN,nuggets,Y
1626176,Christmas, Rakeem,Rakeem Christmas,TRUE,2015,2015,rakeem_christmas,1610612754,Indiana,Pacers,IND,pacers,Y
203546,Clark, Ian,Ian Clark,TRUE,2013,2015,ian_clark,1610612744,Golden State,Warriors,GSW,warriors,Y
203903,Clarkson, Jordan,Jordan Clarkson,TRUE,2014,2015,jordan_clarkson,1610612747,Los Angeles,Lakers,LAL,lakers,Y
202708,Cole, Norris,Norris Cole,TRUE,2011,2015,norris_cole,1610612740,New Orleans,Pelicans,NOP,pelicans,Y
201954,Collison, Darren,Darren Collison,TRUE,2009,2015,darren_collison,1610612758,Sacramento,Kings,SAC,kings,Y
2555,Collison, Nick,Nick Collison,TRUE,2003,2015,nick_collison,1610612760,Oklahoma City,Thunder,OKC,thunder,Y
201144,Conley, Mike,Mike Conley,TRUE,2007,2015,mike_conley,1610612763,Memphis,Grizzlies,MEM,grizzlies,Y
1626192,Connaughton, Pat,Pat Connaughton,TRUE,2015,2015,pat_connaughton,1610612757,Portland,Trail Blazers,POR,blazers,Y
202326,Cousins, DeMarcus,DeMarcus Cousins,TRUE,2010,2015,demarcus_cousins,1610612758,Sacramento,Kings,SAC,kings,Y
203496,Covington, Robert,Robert Covington,TRUE,2013,2015,robert_covington,1610612755,Philadelphia,76ers,PHI,sixers,Y
203459,Crabbe, Allen,Allen Crabbe,TRUE,2013,2015,allen_crabbe,1610612757,Portland,Trail Blazers,POR,blazers,Y
2037,Crawford, Jamal,Jamal Crawford,TRUE,2000,2015,jamal_crawford,1610612746,Los Angeles,Clippers,LAC,clippers,Y
203109,Crowder, Jae,Jae Crowder,TRUE,2012,2015,jae_crowder,1610612738,Boston,Celtics,BOS,celtics,Y
