"","grid_type","game_id","game_event_id","player_id","player_name","team_id","team_name","period","minutes_remaining","seconds_remaining","event_type","action_type","shot_type","shot_zone_basic","shot_zone_area","shot_zone_range","shot_distance","loc_x","loc_y","shot_attempted_flag","shot_made_flag","shot_made_numeric","shot_value"
"35","Shot Chart Detail","0041400171","226","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","2","4","12","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-0.5,5.55,1,"made",1,2
"36","Shot Chart Detail","0041400171","248","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","2","2","28","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0,5.35,1,"made",1,2
"37","Shot Chart Detail","0041400171","273","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","2","0","7","Made Shot","Turnaround Fadeaway shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",7,-6.8,7.55,1,"made",1,2
"38","Shot Chart Detail","0041400171","297","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","3","9","35","Made Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",12,-12.2,5.35,1,"made",1,2
"39","Shot Chart Detail","0041400171","306","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","3","8","22","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",11,-11.2,6.75,1,"missed",0,2
"40","Shot Chart Detail","0041400171","312","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","3","7","32","Missed Shot","Turnaround Fadeaway shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",13,-10.5,14.05,1,"missed",0,2
"41","Shot Chart Detail","0041400171","342","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","3","4","56","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",25,-7.8,29.35,1,"made",1,3
"42","Shot Chart Detail","0041400171","380","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","3","1","47","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0.7,5.05,1,"made",1,2
"43","Shot Chart Detail","0041400171","386","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","3","1","23","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",24,-4.8,29.45,1,"missed",0,3
"44","Shot Chart Detail","0041400171","399","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","3","0","28","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0.2,5.95,1,"made",1,2
