Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
Ricky Rubio	MIN	70	34	3.9%	0.85	29	3	16	18.8	18.8	41.2%	11.8%	17.6%	0.0%	47.1%	60.6
Al Horford	ATL	77	37	3.3%	0.78	29	14	33	42.4	42.4	2.7%	10.8%	2.7%	2.7%	37.8%	46.0
Trevor Ariza	HOU	75	38	4.0%	0.76	29	9	32	28.1	35.9	7.9%	10.5%	7.9%	2.6%	28.9%	40.4
Jared Sullinger	BOS	75	53	5.7%	0.55	29	10	41	24.4	24.4	13.2%	9.4%	13.2%	0.0%	30.2%	12.4
Nik Stauskas	PHI	68	28	4.5%	1.00	28	9	20	45.0	50.0	17.9%	14.3%	17.9%	3.6%	46.4%	89.2
Nick Young	LAL	54	30	7.0%	0.93	28	7	23	30.4	37.0	16.7%	6.7%	16.7%	0.0%	36.7%	74.0
Terrence Ross	TOR	66	37	6.1%	0.73	27	13	34	38.2	39.7	0.0%	8.1%	0.0%	0.0%	35.1%	34.5
Ramon Sessions	WAS	76	27	3.7%	0.96	26	5	16	31.3	31.3	40.7%	7.4%	33.3%	7.4%	51.9%	79.3
Anthony Morrow	OKC	58	15	4.8%	1.60	24	9	14	64.3	78.6	6.7%	0.0%	6.7%	0.0%	66.7%	100.0
Mirza Teletovic	PHX	71	23	2.9%	1.04	24	10	17	58.8	64.7	8.7%	17.4%	8.7%	0.0%	52.2%	93.5
Paul Pierce	LAC	64	31	7.1%	0.77	24	9	24	37.5	37.5	12.9%	12.9%	12.9%	3.2%	38.7%	44.4
Gary Harris	DEN	71	32	3.8%	0.75	24	11	28	39.3	39.3	6.3%	9.4%	6.3%	3.1%	37.5%	38.7
Tobias Harris	DET	22	35	10.3%	0.69	24	9	29	31.0	31.0	11.4%	8.6%	11.4%	2.9%	34.3%	26.2
Boris Diaw	SAS	74	23	4.6%	1.00	23	10	22	45.5	47.7	8.7%	0.0%	8.7%	4.3%	47.8%	89.2
Frank Kaminsky	CHA	73	23	3.9%	1.00	23	9	18	50.0	52.8	21.7%	8.7%	17.4%	8.7%	52.2%	89.2
Joe Johnson	MIA	17	26	12.5%	0.88	23	9	20	45.0	52.5	3.8%	19.2%	3.8%	0.0%	38.5%	66.8
Nikola Mirotic	CHI	59	29	4.2%	0.79	23	6	18	33.3	36.1	20.7%	20.7%	20.7%	3.4%	37.9%	47.6
Ish Smith	NOP	26	31	10.7%	0.74	23	11	25	44.0	46.0	0.0%	19.4%	0.0%	0.0%	35.5%	37.1
Mason Plumlee	POR	76	40	5.3%	0.57	23	9	29	31.0	31.0	15.0%	12.5%	12.5%	0.0%	32.5%	14.5
Donald Sloan	BKN	56	23	5.4%	0.96	22	6	16	37.5	37.5	26.1%	8.7%	26.1%	4.3%	47.8%	78.5
Kyle O'Quinn	NYK	57	23	7.1%	0.96	22	11	21	52.4	52.4	0.0%	8.7%	0.0%	0.0%	47.8%	78.5
JJ Redick	LAC	70	25	2.5%	0.88	22	7	19	36.8	39.5	20.0%	8.0%	16.0%	4.0%	44.0%	65.3
Tony Allen	MEM	61	25	4.5%	0.88	22	10	22	45.5	45.5	12.0%	4.0%	16.0%	8.0%	44.0%	65.3
Jordan Hill	IND	71	32	4.7%	0.69	22	10	29	34.5	34.5	3.1%	6.3%	3.1%	0.0%	34.4%	26.6
Derrick Favors	UTA	58	25	2.6%	0.84	21	10	21	47.6	47.6	4.0%	12.0%	4.0%	0.0%	44.0%	57.5
Iman Shumpert	CLE	51	28	7.6%	0.75	21	8	26	30.8	30.8	14.3%	0.0%	10.7%	7.1%	35.7%	38.7
Robert Covington	PHI	61	36	4.5%	0.58	21	7	26	26.9	36.5	8.3%	19.4%	5.6%	0.0%	25.0%	15.3
Bobby Portis	CHI	55	41	9.1%	0.51	21	10	38	26.3	26.3	2.4%	4.9%	2.4%	0.0%	26.8%	8.7
Omri Casspi	SAC	69	21	2.7%	0.95	20	6	16	37.5	46.9	19.0%	4.8%	14.3%	0.0%	42.9%	77.8
Josh McRoberts	MIA	37	23	13.5%	0.87	20	9	18	50.0	50.0	8.7%	13.0%	8.7%	0.0%	43.5%	64.0
Tony Snell	CHI	60	24	6.2%	0.83	20	9	20	45.0	45.0	4.2%	12.5%	4.2%	0.0%	41.7%	54.2
Marreese Speights	GSW	65	26	5.0%	0.77	20	8	19	42.1	42.1	11.5%	19.2%	11.5%	3.8%	38.5%	42.6
Langston Galloway	NYK	77	28	4.4%	0.71	20	6	22	27.3	34.1	14.3%	7.1%	14.3%	0.0%	32.1%	30.4
Ty Lawson	HOU	53	32	7.9%	0.63	20	7	20	35.0	35.0	15.6%	21.9%	15.6%	0.0%	34.4%	18.6
