Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
Devin Harris	DAL	59	39	8.8%	0.62	24	5	15	33.3	33.3	23.1%	43.6%	5.1%	5.1%	30.8%	66.8
Nikola Mirotic	CHI	59	40	5.8%	0.60	24	1	6	16.7	16.7	30.0%	55.0%	0.0%	0.0%	32.5%	64.3
Kent Bazemore	ATL	71	41	4.8%	0.59	24	6	13	46.2	46.2	17.1%	51.2%	0.0%	0.0%	31.7%	62.6
Patrick Beverley	HOU	65	49	7.4%	0.49	24	4	12	33.3	33.3	22.4%	53.1%	2.0%	0.0%	30.6%	48.8
Jason Smith	ORL	69	55	10.1%	0.44	24	4	10	40.0	40.0	16.4%	65.5%	0.0%	0.0%	23.6%	40.2
Mirza Teletovic	PHX	71	36	4.5%	0.64	23	2	11	18.2	22.7	30.6%	38.9%	2.8%	0.0%	33.3%	71.5
Evan Turner	BOS	76	38	4.1%	0.61	23	4	9	44.4	44.4	26.3%	50.0%	0.0%	0.0%	36.8%	65.1
JR Smith	CLE	72	42	4.8%	0.55	23	6	17	35.3	47.1	11.9%	47.6%	0.0%	0.0%	23.8%	58.3
Myles Turner	IND	53	42	7.2%	0.55	23	5	8	62.5	62.5	26.2%	57.1%	7.1%	2.4%	33.3%	58.3
Archie Goodwin	PHX	50	44	8.3%	0.52	23	4	15	26.7	30.0	22.7%	45.5%	6.8%	2.3%	27.3%	52.5
Trevor Ariza	HOU	75	44	4.6%	0.52	23	2	13	15.4	19.2	25.0%	45.5%	4.5%	0.0%	27.3%	52.5
Alex Len	PHX	71	67	8.5%	0.34	23	5	12	41.7	41.7	14.9%	67.2%	1.5%	0.0%	20.9%	24.1
Bojan Bogdanovic	BKN	74	33	3.9%	0.67	22	3	8	37.5	50.0	24.2%	51.5%	3.0%	0.0%	33.3%	74.0
