Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
Jarell Martin	MEM	19	12	9.7%	0.83	10	4	9	44.4	44.4	8.3%	16.7%	8.3%	0.0%	41.7%	48.6
Richaun Holmes	PHI	50	12	4.2%	0.83	10	3	6	50.0	50.0	16.7%	33.3%	16.7%	0.0%	41.7%	48.6
Channing Frye	ORL	44	12	5.4%	0.83	10	4	7	57.1	57.1	8.3%	33.3%	8.3%	0.0%	41.7%	48.6
Jonas Jerebko	BOS	70	15	4.4%	0.67	10	3	11	27.3	27.3	13.3%	13.3%	6.7%	0.0%	33.3%	18.6
Bismack Biyombo	TOR	74	16	3.7%	0.63	10	5	13	38.5	38.5	0.0%	18.8%	0.0%	0.0%	31.3%	16.1
Robert Sacre	LAL	19	16	19.3%	0.63	10	3	12	25.0	25.0	18.8%	6.3%	12.5%	0.0%	37.5%	16.1
Justise Winslow	MIA	72	19	3.3%	0.53	10	4	14	28.6	28.6	10.5%	15.8%	10.5%	0.0%	31.6%	10.0
Tony Allen	MEM	61	14	2.5%	0.64	9	4	12	33.3	33.3	7.1%	14.3%	7.1%	7.1%	28.6%	17.1
Kendrick Perkins	NOP	28	14	16.5%	0.64	9	4	8	50.0	50.0	7.1%	35.7%	0.0%	0.0%	35.7%	17.1
Ryan Kelly	LAL	29	14	8.6%	0.64	9	3	10	30.0	30.0	21.4%	14.3%	21.4%	7.1%	35.7%	17.1
Noah Vonleh	POR	71	24	7.3%	0.38	9	4	22	18.2	18.2	4.2%	4.2%	4.2%	0.0%	20.8%	2.7
Henry Sims	BKN	8	10	21.3%	0.80	8	3	9	33.3	33.3	10.0%	0.0%	10.0%	0.0%	40.0%	41.9
George Hill	IND	68	11	1.3%	0.73	8	3	8	37.5	37.5	18.2%	18.2%	18.2%	9.1%	36.4%	28.0
ETwaun Moore	CHI	57	11	2.5%	0.73	8	4	9	44.4	44.4	0.0%	18.2%	0.0%	0.0%	36.4%	28.0
Al Farouq Aminu	POR	76	17	2.0%	0.47	8	4	10	40.0	40.0	0.0%	41.2%	0.0%	0.0%	23.5%	6.9
Matt Barnes	MEM	70	17	2.2%	0.47	8	3	11	27.3	27.3	17.6%	23.5%	17.6%	5.9%	23.5%	6.9
Tarik Black	LAL	31	10	8.8%	0.70	7	3	8	37.5	37.5	10.0%	10.0%	10.0%	0.0%	40.0%	23.9
Otto Porter Jr.	WAS	69	10	1.3%	0.70	7	3	8	37.5	37.5	10.0%	10.0%	10.0%	0.0%	40.0%	23.9
Jordan Clarkson	LAL	72	10	0.8%	0.60	6	2	7	28.6	28.6	10.0%	20.0%	10.0%	0.0%	30.0%	13.3
Joakim Noah	CHI	29	10	4.9%	0.60	6	3	9	33.3	33.3	0.0%	10.0%	0.0%	0.0%	30.0%	13.3
Eric Bledsoe	PHX	32	11	1.6%	0.55	6	3	9	33.3	33.3	9.1%	9.1%	9.1%	0.0%	27.3%	11.4
Andre Iguodala	GSW	60	13	2.9%	0.46	6	3	9	33.3	33.3	0.0%	30.8%	0.0%	0.0%	23.1%	6.0
Patrick Patterson	TOR	73	13	2.5%	0.46	6	3	10	30.0	30.0	0.0%	23.1%	0.0%	0.0%	23.1%	6.0
Thomas Robinson	BKN	62	18	5.2%	0.33	6	3	12	25.0	25.0	5.6%	27.8%	5.6%	0.0%	16.7%	1.4
Ersan Ilyasova	ORL	18	10	6.6%	0.50	5	1	6	16.7	16.7	20.0%	20.0%	20.0%	0.0%	30.0%	7.8
JR Smith	CLE	72	12	1.4%	0.42	5	2	9	22.2	22.2	8.3%	16.7%	8.3%	0.0%	25.0%	4.6
JaVale McGee	DAL	33	13	7.6%	0.38	5	2	9	22.2	22.2	7.7%	23.1%	7.7%	0.0%	23.1%	3.2
Jason Smith	ORL	69	13	2.4%	0.38	5	2	10	20.0	20.0	7.7%	15.4%	7.7%	0.0%	23.1%	3.2
OJ Mayo	MIL	41	10	2.4%	0.40	4	1	9	11.1	11.1	10.0%	0.0%	10.0%	0.0%	20.0%	4.1
Josh Smith	HOU	18	10	5.5%	0.30	3	1	5	20.0	20.0	10.0%	40.0%	10.0%	0.0%	20.0%	0.9
Will Barton	DEN	77	10	0.9%	0.20	2	1	7	14.3	14.3	0.0%	30.0%	0.0%	0.0%	10.0%	0.5
Anderson Varejao	CLE	31	10	9.8%	0.10	1	0	6	0.0	0.0	10.0%	30.0%	10.0%	0.0%	10.0%	0.0
