Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
Kawhi Leonard	SAS	67	13	1.1%	1.15	15	7	12	58.3	62.5	7.7%	0.0%	7.7%	0.0%	53.8%	81.7
Damjan Rudez	MIN	24	15	19.2%	1.00	15	5	15	33.3	50.0	0.0%	0.0%	0.0%	0.0%	33.3%	50.5
Chris Andersen	MEM	14	18	28.1%	0.83	15	6	13	46.2	46.2	16.7%	11.1%	16.7%	0.0%	50.0%	16.6
Luc Mbah a Moute	LAC	60	20	8.2%	0.75	15	7	18	38.9	38.9	10.0%	0.0%	10.0%	0.0%	40.0%	8.9
Drew Gooden	WAS	27	32	27.6%	0.47	15	6	25	24.0	26.0	3.1%	18.8%	3.1%	0.0%	21.9%	0.5
Jeremy Evans	DAL	23	10	15.9%	1.40	14	5	8	62.5	75.0	40.0%	0.0%	30.0%	20.0%	70.0%	96.7
Jimmy Butler	CHI	60	11	0.9%	1.27	14	6	10	60.0	60.0	9.1%	0.0%	9.1%	0.0%	63.6%	91.0
Ryan Kelly	LAL	29	21	12.9%	0.67	14	5	19	26.3	26.3	14.3%	0.0%	14.3%	4.8%	33.3%	5.6
Ryan Hollins	MEM	15	10	14.3%	1.30	13	5	7	71.4	71.4	20.0%	10.0%	20.0%	0.0%	70.0%	92.5
Elton Brand	PHI	13	21	30.0%	0.62	13	6	19	31.6	31.6	4.8%	9.5%	4.8%	4.8%	28.6%	4.7
Trevor Ariza	HOU	75	14	1.5%	0.86	12	4	13	30.8	46.2	0.0%	7.1%	0.0%	0.0%	28.6%	20.6
Greg Smith	MIN	14	15	32.6%	0.80	12	4	9	44.4	44.4	26.7%	20.0%	26.7%	6.7%	40.0%	13.6
Joakim Noah	CHI	29	20	9.9%	0.60	12	5	16	31.3	31.3	15.0%	5.0%	15.0%	0.0%	30.0%	3.8
Nikola Pekovic	MIN	12	11	15.9%	1.00	11	5	8	62.5	62.5	9.1%	18.2%	9.1%	0.0%	54.5%	50.5
Stephen Curry	GSW	73	12	0.6%	0.92	11	4	10	40.0	55.0	0.0%	16.7%	0.0%	0.0%	33.3%	31.3
Klay Thompson	GSW	74	11	0.7%	0.91	10	4	10	40.0	50.0	0.0%	9.1%	0.0%	0.0%	36.4%	29.6
Lance Thomas	NYK	59	12	2.5%	0.83	10	4	9	44.4	44.4	16.7%	16.7%	16.7%	8.3%	41.7%	16.6
Kobe Bryant	LAL	59	12	1.0%	0.83	10	4	11	36.4	45.5	0.0%	8.3%	0.0%	0.0%	33.3%	16.6
Chandler Parsons	DAL	61	10	1.2%	0.90	9	3	8	37.5	37.5	20.0%	10.0%	20.0%	10.0%	40.0%	27.6
Wesley Matthews	DAL	72	13	1.4%	0.69	9	2	10	20.0	30.0	15.4%	7.7%	15.4%	0.0%	30.8%	6.1
PJ Tucker	PHX	75	12	1.8%	0.58	7	3	11	27.3	31.8	0.0%	8.3%	0.0%	0.0%	25.0%	2.3
Jarell Martin	MEM	19	14	11.3%	0.43	6	1	9	11.1	11.1	21.4%	14.3%	14.3%	0.0%	28.6%	0.0
Maurice Harkless	POR	71	10	2.2%	0.50	5	1	7	14.3	14.3	20.0%	10.0%	20.0%	0.0%	30.0%	0.9
