"player_id","player_name","team_id","team_abbreviation","gp","reb","ast","tov","stl","blk","pf","playtype"
"201950","Jrue Holiday","1610612740","NOP","40",0.612676056338028,0.0704225352112676,0.26056338028169,0.161971830985915,0.345070422535211,0.133802816901408,"regular"
"203200","Justin Holiday","1610612744","GSW","59",0.971830985915493,0.894366197183099,0.964788732394366,0.669014084507042,0.809859154929577,0.985915492957746,"regular"
"201142","Kevin Durant","1610612760","OKC","27",0.190140845070423,0.197183098591549,0.140845070422535,0.507042253521127,0.197183098591549,0.880281690140845,"regular"
"201567","Kevin Love","1610612739","CLE","75",0,0.52112676056338,0.485915492957746,0.669014084507042,0.436619718309859,0.626760563380282,"regular"
"202691","Klay Thompson","1610612744","GSW","77",0.640845070422535,0.422535211267606,0.373239436619718,0.387323943661972,0.23943661971831,0.830985915492958,"regular"
"977","Kobe Bryant","1610612747","LAL","35",0.28169014084507,0.126760563380282,0.0704225352112676,0.246478873239437,0.809859154929577,0.626760563380282,"regular"
"201585","Kosta Koufos","1610612763","MEM","81",0.352112676056338,0.964788732394366,0.880281690140845,0.887323943661972,0.23943661971831,0.626760563380282,"regular"
"2594","Kyle Korver","1610612737","ATL","75",0.535211267605634,0.5,0.591549295774648,0.669014084507042,0.345070422535211,0.626760563380282,"regular"
"200768","Kyle Lowry","1610612761","TOR","70",0.415492957746479,0.0845070422535211,0.197183098591549,0.161971830985915,0.809859154929577,0.0563380281690141,"regular"
"202681","Kyrie Irving","1610612739","CLE","75",0.669014084507042,0.169014084507042,0.197183098591549,0.211267605633803,0.626760563380282,0.514084507042254,"regular"
"200746","LaMarcus Aldridge","1610612757","POR","71",0.880281690140845,0.725352112676056,0.436619718309859,0.669014084507042,0.176056338028169,0.711267605633803,"regular"
"2544","LeBron James","1610612739","CLE","69",0.225352112676056,0.028169014084507,0.0352112676056338,0.161971830985915,0.288732394366197,0.514084507042254,"regular"
"2571","Leandro Barbosa","1610612744","GSW","66",0.957746478873239,0.76056338028169,0.922535211267606,0.774647887323944,0.950704225352113,0.936619718309859,"regular"
"201188","Marc Gasol","1610612763","MEM","81",0.0774647887323944,0.21830985915493,0.323943661971831,0.507042253521127,0.0845070422535211,0.204225352112676,"regular"
"201578","Marreese Speights","1610612744","GSW","76",0.5,0.852112676056338,0.73943661971831,0.950704225352113,0.436619718309859,0.246478873239437,"regular"
"203521","Matthew Dellavedova","1610612739","CLE","67",0.915492957746479,0.366197183098592,0.880281690140845,0.887323943661972,0.985915492957746,0.352112676056338,"regular"
"201144","Mike Conley","1610612763","MEM","70",0.690140845070423,0.147887323943662,0.26056338028169,0.28169014084507,0.809859154929577,0.514084507042254,"regular"
"202708","Norris Cole","1610612740","NOP","75",0.774647887323944,0.295774647887324,0.669014084507042,0.577464788732394,0.809859154929577,0.76056338028169,"regular"
"201600","Omer Asik","1610612740","NOP","76",0.901408450704225,0.852112676056338,0.669014084507042,0.887323943661972,0.288732394366197,0.626760563380282,"regular"
"201976","Patrick Beverley","1610612745","HOU","56",0.5,0.267605633802817,0.52112676056338,0.387323943661972,0.52112676056338,0.028169014084507,"regular"
"2200","Pau Gasol","1610612741","CHI","78",0.830985915492958,0.471830985915493,0.352112676056338,0.950704225352113,0.028169014084507,0.626760563380282,"regular"
"200794","Paul Millsap","1610612737","ATL","73",0.0774647887323944,0.366197183098592,0.26056338028169,0.0985915492957746,0.176056338028169,0.133802816901408,"regular"
"201566","Russell Westbrook","1610612760","OKC","67",0.119718309859155,0,0.00704225352112675,0.0140845070422535,0.809859154929577,0.133802816901408,"regular"
"201583","Ryan Anderson","1610612740","NOP","61",0.380281690140845,0.873239436619718,0.809859154929577,0.838028169014085,0.626760563380282,0.626760563380282,"regular"
"2733","Shaun Livingston","1610612744","GSW","78",0.73943661971831,0.295774647887324,0.669014084507042,0.774647887323944,0.626760563380282,0.908450704225352,"regular"
"201939","Stephen Curry","1610612744","GSW","80",0.5,0.0140845070422535,0.105633802816901,0.0140845070422535,0.809859154929577,0.514084507042254,"regular"
