
Mirza Teletovic	PHX	71	31	3.9%	0.68	21	8	31	25.8	33.9	0.0%	0.0%	0.0%	0.0%	25.8%	15.5
Michael Carter-Williams	MIL	54	19	2.4%	1.05	20	9	18	50.0	52.8	5.3%	0.0%	5.3%	0.0%	52.6%	81.0
Donald Sloan	BKN	56	25	5.8%	0.80	20	8	20	40.0	45.0	8.0%	12.0%	4.0%	0.0%	40.0%	41.3
Kelly Olynyk	BOS	63	30	4.7%	0.67	20	8	27	29.6	35.2	3.3%	10.0%	3.3%	3.3%	26.7%	12.6
Giannis Antetokounmpo	MIL	74	30	2.3%	0.67	20	8	22	36.4	36.4	10.0%	20.0%	6.7%	3.3%	33.3%	12.6
DJ Augustin	DEN	23	17	6.0%	1.12	19	7	13	53.8	73.1	0.0%	23.5%	0.0%	0.0%	41.2%	88.1
Tim Hardaway Jr.	ATL	46	21	7.6%	0.90	19	7	17	41.2	44.1	9.5%	14.3%	9.5%	4.8%	38.1%	59.7
Matt Barnes	MEM	70	22	2.8%	0.86	19	5	15	33.3	40.0	13.6%	18.2%	13.6%	0.0%	36.4%	52.2
Archie Goodwin	PHX	50	28	5.3%	0.68	19	4	21	19.0	19.0	25.0%	7.1%	21.4%	7.1%	32.1%	15.9
Tyreke Evans	NOP	25	29	6.8%	0.66	19	8	23	34.8	37.0	3.4%	17.2%	0.0%	0.0%	31.0%	11.5
Marcus Smart	BOS	55	32	5.1%	0.59	19	7	28	25.0	28.6	9.4%	3.1%	9.4%	0.0%	31.3%	9.7
Luol Deng	MIA	67	17	2.1%	1.06	18	8	15	53.3	56.7	5.9%	11.8%	5.9%	5.9%	47.1%	81.9
Derrick Williams	NYK	74	19	2.8%	0.95	18	6	17	35.3	38.2	15.8%	0.0%	15.8%	5.3%	42.1%	68.0
Ronnie Price	PHX	55	21	6.3%	0.86	18	7	17	41.2	52.9	0.0%	19.0%	0.0%	0.0%	33.3%	50.9
Leandro Barbosa	GSW	63	22	5.3%	0.82	18	7	16	43.8	46.9	13.6%	18.2%	13.6%	4.5%	40.9%	45.3
Jarrett Jack	BKN	32	23	4.7%	0.78	18	9	20	45.0	45.0	0.0%	13.0%	0.0%	0.0%	39.1%	37.3
Mike Dunleavy	CHI	25	24	12.3%	0.75	18	4	15	26.7	40.0	12.5%	25.0%	12.5%	0.0%	29.2%	31.4
Randy Foye	DEN	54	26	6.4%	0.69	18	8	15	53.3	56.7	3.8%	38.5%	3.8%	0.0%	34.6%	17.9
Vince Carter	MEM	54	26	7.4%	0.69	18	7	24	29.2	35.4	3.8%	3.8%	3.8%	0.0%	30.8%	17.9
Christapher Johnson	UTA	59	27	11.3%	0.67	18	7	18	38.9	44.4	3.7%	29.6%	3.7%	0.0%	29.6%	12.6
Reggie Jackson	DET	75	31	2.1%	0.58	18	6	27	22.2	29.6	6.5%	9.7%	6.5%	3.2%	22.6%	8.4
Marcus Thornton	HOU	47	33	6.6%	0.55	18	7	27	25.9	29.6	3.0%	15.2%	0.0%	0.0%	24.2%	7.1
Kirk Hinrich	CHI	33	13	8.6%	1.31	17	6	12	50.0	62.5	7.7%	0.0%	7.7%	0.0%	53.8%	98.2
Draymond Green	GSW	75	15	1.3%	1.13	17	7	12	58.3	70.8	6.7%	20.0%	6.7%	6.7%	46.7%	88.9
