Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
Stephen Curry	GSW	73	29	1.6%	0.90	26	9	21	42.9	47.6	10.3%	17.2%	10.3%	0.0%	41.4%	22.1
Trey Lyles	UTA	71	30	6.5%	0.87	26	11	25	44.0	44.0	10.0%	6.7%	10.0%	0.0%	46.7%	17.8
Jusuf Nurkic	DEN	27	39	14.9%	0.67	26	11	34	32.4	32.4	12.8%	2.6%	10.3%	2.6%	33.3%	3.9
Rajon Rondo	SAC	71	28	2.5%	0.89	25	11	22	50.0	50.0	7.1%	14.3%	3.6%	0.0%	46.4%	20.6
James Johnson	TOR	54	17	5.5%	1.41	24	11	15	73.3	73.3	5.9%	5.9%	5.9%	0.0%	70.6%	97.5
Jarell Martin	MEM	19	20	16.1%	1.20	24	10	15	66.7	66.7	15.0%	10.0%	15.0%	0.0%	65.0%	78.4
Chase Budinger	IND	47	21	8.6%	1.14	24	10	16	62.5	62.5	19.0%	9.5%	19.0%	4.8%	61.9%	67.1
Mike Muscala	ATL	49	21	11.3%	1.14	24	11	17	64.7	64.7	4.8%	14.3%	4.8%	0.0%	57.1%	67.1
DeMar DeRozan	TOR	74	22	1.3%	1.09	24	10	18	55.6	55.6	9.1%	9.1%	4.5%	0.0%	54.5%	59.2
Jason Smith	ORL	69	24	4.4%	1.00	24	12	20	60.0	60.0	0.0%	16.7%	0.0%	0.0%	50.0%	39.2
Johnny OBryant	MIL	55	32	14.2%	0.75	24	10	25	40.0	40.0	15.6%	9.4%	15.6%	3.1%	43.8%	9.7
Montrezl Harrell	HOU	29	20	16.0%	1.15	23	11	17	64.7	64.7	10.0%	10.0%	10.0%	5.0%	60.0%	68.3
CJ McCollum	POR	74	21	1.3%	1.10	23	10	19	52.6	55.3	4.8%	4.8%	4.8%	0.0%	52.4%	60.9
Victor Oladipo	ORL	69	23	2.0%	1.00	23	10	19	52.6	52.6	8.7%	8.7%	0.0%	0.0%	52.2%	39.2
Al Jefferson	CHA	41	27	5.4%	0.85	23	10	23	43.5	43.5	11.1%	3.7%	7.4%	0.0%	44.4%	16.7
Marc Gasol	MEM	52	30	3.2%	0.77	23	9	22	40.9	40.9	16.7%	10.0%	3.3%	0.0%	43.3%	11.7
Chris Paul	LAC	69	14	1.0%	1.57	22	7	11	63.6	72.7	21.4%	0.0%	14.3%	0.0%	71.4%	98.9
Marcus Thornton	HOU	47	17	3.4%	1.29	22	9	15	60.0	60.0	11.8%	0.0%	11.8%	0.0%	64.7%	90.0
Danny Green	SAS	73	19	3.1%	1.16	22	11	18	61.1	61.1	0.0%	5.3%	0.0%	0.0%	57.9%	69.3
Lance Thomas	NYK	59	19	3.9%	1.16	22	9	18	50.0	55.6	5.3%	0.0%	5.3%	0.0%	52.6%	69.3
Kyle Singler	OKC	59	22	8.9%	1.00	22	8	17	47.1	47.1	22.7%	4.5%	18.2%	4.5%	50.0%	39.2
Nemanja Bjelica	MIN	51	23	8.7%	0.96	22	9	20	45.0	45.0	13.0%	8.7%	13.0%	8.7%	43.5%	32.7
Trevor Ariza	HOU	75	28	2.9%	0.79	22	9	22	40.9	40.9	10.7%	10.7%	10.7%	0.0%	39.3%	12.5
Louis Williams	LAL	67	15	1.5%	1.40	21	8	13	61.5	69.2	13.3%	6.7%	13.3%	6.7%	60.0%	97.2
Andrew Nicholson	ORL	45	16	4.6%	1.31	21	8	11	72.7	72.7	25.0%	6.3%	25.0%	0.0%	75.0%	92.9
Bojan Bogdanovic	BKN	74	17	2.0%	1.24	21	9	13	69.2	69.2	11.8%	11.8%	17.6%	5.9%	58.8%	84.3
Damian Lillard	POR	69	18	1.0%	1.17	21	8	17	47.1	52.9	11.1%	0.0%	11.1%	5.6%	50.0%	72.0
Klay Thompson	GSW	74	18	1.2%	1.17	21	9	17	52.9	58.8	5.6%	5.6%	5.6%	5.6%	50.0%	72.0
JaKarr Sampson	PHI	47	20	6.7%	1.05	21	9	16	56.3	56.3	15.0%	5.0%	15.0%	0.0%	60.0%	47.3
Allen Crabbe	POR	75	10	1.4%	2.00	20	8	9	88.9	94.4	20.0%	0.0%	20.0%	10.0%	90.0%	100.0
Gerald Henderson	POR	67	15	2.5%	1.33	20	9	14	64.3	64.3	13.3%	0.0%	13.3%	6.7%	66.7%	94.2
Gary Harris	DEN	71	17	2.0%	1.18	20	8	13	61.5	65.4	11.8%	11.8%	5.9%	0.0%	58.8%	73.7
Drew Gooden	WAS	27	17	14.7%	1.18	20	10	17	58.8	58.8	0.0%	0.0%	0.0%	0.0%	58.8%	73.7
Monta Ellis	IND	76	17	1.4%	1.18	20	10	16	62.5	62.5	0.0%	5.9%	0.0%	0.0%	58.8%	73.7
Gerald Green	MIA	63	18	2.8%	1.11	20	9	16	56.3	56.3	11.1%	5.6%	11.1%	5.6%	55.6%	63.1
Rodney Hood	UTA	73	18	1.7%	1.11	20	10	17	58.8	58.8	0.0%	5.6%	0.0%	0.0%	55.6%	63.1
Mike Scott	ATL	66	25	5.9%	0.80	20	6	19	31.6	31.6	20.0%	4.0%	20.0%	0.0%	44.0%	13.2
Markieff Morris	PHX	38	27	4.8%	0.74	20	10	24	41.7	41.7	3.7%	11.1%	3.7%	3.7%	37.0%	9.3
Isaiah Thomas	BOS	76	16	0.9%	1.19	19	5	10	50.0	55.0	25.0%	12.5%	18.8%	0.0%	56.3%	75.0
Langston Galloway	NYK	77	16	2.5%	1.19	19	9	14	64.3	67.9	0.0%	12.5%	0.0%	0.0%	56.3%	75.0
CJ Miles	IND	60	18	2.5%	1.06	19	5	13	38.5	38.5	27.8%	0.0%	27.8%	0.0%	55.6%	49.8
Reggie Jackson	DET	75	21	1.4%	0.90	19	8	20	40.0	42.5	4.8%	0.0%	4.8%	0.0%	42.9%	23.2
Thabo Sefolosha	ATL	69	21	4.6%	0.90	19	8	20	40.0	42.5	9.5%	4.8%	9.5%	9.5%	38.1%	23.2
Jonas Jerebko	BOS	70	25	7.3%	0.76	19	8	22	36.4	36.4	8.0%	4.0%	0.0%	0.0%	40.0%	10.7
Derrick Rose	CHI	63	26	2.1%	0.73	19	7	22	31.8	34.1	7.7%	7.7%	7.7%	0.0%	34.6%	7.5
James Harden	HOU	76	27	1.3%	0.70	19	9	23	39.1	39.1	3.7%	11.1%	0.0%	0.0%	37.0%	6.0
Evan Fournier	ORL	73	15	1.4%	1.20	18	6	12	50.0	50.0	20.0%	0.0%	13.3%	0.0%	60.0%	78.4
Solomon Hill	IND	43	16	8.6%	1.13	18	7	13	53.8	53.8	12.5%	6.3%	12.5%	0.0%	56.3%	65.0
Kelly Oubre Jr.	WAS	50	17	7.4%	1.06	18	9	14	64.3	64.3	0.0%	17.6%	0.0%	0.0%	52.9%	50.7
JJ Hickson	DEN	18	18	11.8%	1.00	18	6	11	54.5	54.5	33.3%	5.6%	33.3%	0.0%	61.1%	39.2
Boris Diaw	SAS	74	19	3.8%	0.95	18	9	18	50.0	50.0	0.0%	5.3%	0.0%	0.0%	47.4%	30.7
Michael Beasley	HOU	14	13	6.4%	1.31	17	8	12	66.7	66.7	7.7%	0.0%	0.0%	0.0%	69.2%	91.8
Tobias Harris	DET	22	14	4.1%	1.21	17	6	12	50.0	50.0	21.4%	0.0%	14.3%	7.1%	57.1%	80.8
Andre Iguodala	GSW	60	16	3.5%	1.06	17	7	14	50.0	50.0	12.5%	0.0%	6.3%	0.0%	56.3%	51.6
Archie Goodwin	PHX	50	17	3.2%	1.00	17	8	15	53.3	53.3	5.9%	5.9%	5.9%	0.0%	52.9%	39.2
Charlie Villanueva	DAL	54	17	4.9%	1.00	17	7	13	53.8	53.8	11.8%	17.6%	11.8%	5.9%	47.1%	39.2
Kris Humphries	WAS	28	18	9.2%	0.94	17	7	14	50.0	50.0	11.1%	11.1%	11.1%	0.0%	50.0%	30.2
Kyle Lowry	TOR	73	19	1.2%	0.89	17	7	16	43.8	46.9	5.3%	10.5%	0.0%	0.0%	42.1%	21.0
Andrea Bargnani	BKN	45	21	6.4%	0.81	17	7	18	38.9	38.9	9.5%	9.5%	9.5%	4.8%	38.1%	13.9
Tarik Black	LAL	31	21	18.6%	0.81	17	7	13	53.8	53.8	19.0%	19.0%	19.0%	0.0%	42.9%	13.9
Michael Carter-Williams	MIL	54	23	2.9%	0.74	17	8	20	40.0	40.0	8.7%	4.3%	8.7%	0.0%	39.1%	8.9
Mike Conley	MEM	56	12	1.4%	1.33	16	7	12	58.3	62.5	8.3%	0.0%	8.3%	8.3%	58.3%	94.2
Markieff Morris	WAS	23	12	4.2%	1.33	16	8	12	66.7	66.7	0.0%	0.0%	0.0%	0.0%	66.7%	94.2
Lance Stephenson	LAC	41	12	5.3%	1.33	16	8	12	66.7	66.7	0.0%	0.0%	0.0%	0.0%	66.7%	94.2
Ryan Hollins	MEM	15	13	18.6%	1.23	16	7	9	77.8	77.8	15.4%	15.4%	15.4%	0.0%	61.5%	82.5
Luke Babbitt	NOP	36	16	6.6%	1.00	16	7	15	46.7	50.0	6.3%	0.0%	6.3%	0.0%	50.0%	39.2
Salah Mejri	DAL	22	13	12.7%	1.15	15	7	10	70.0	70.0	7.7%	23.1%	7.7%	7.7%	53.8%	68.7
Vince Carter	MEM	54	16	4.6%	0.94	15	6	14	42.9	42.9	12.5%	0.0%	12.5%	0.0%	50.0%	28.2
