Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
T.J. McConnell	PHI	76	17	2.9%	0.82	14	7	15	46.7	46.7	0.0%	11.8%	0.0%	0.0%	41.2%	36.4
Iman Shumpert	CLE	51	18	4.9%	0.78	14	6	15	40.0	43.3	5.6%	11.1%	5.6%	0.0%	38.9%	25.9
Brook Lopez	BKN	73	19	1.3%	0.74	14	4	12	33.3	33.3	15.8%	15.8%	15.8%	0.0%	36.8%	18.6
Reggie Jackson	DET	75	19	1.3%	0.74	14	4	15	26.7	30.0	10.5%	10.5%	10.5%	0.0%	31.6%	18.6
Jason Smith	ORL	69	19	3.5%	0.74	14	6	18	33.3	36.1	5.3%	0.0%	5.3%	0.0%	36.8%	18.6
Cory Joseph	TOR	74	13	1.8%	1.00	13	5	10	50.0	60.0	7.7%	23.1%	7.7%	7.7%	38.5%	66.5
Zach Randolph	MEM	62	13	1.3%	1.00	13	6	12	50.0	50.0	7.7%	7.7%	7.7%	7.7%	46.2%	66.5
Matthew Dellavedova	CLE	70	13	2.1%	1.00	13	5	13	38.5	50.0	0.0%	0.0%	0.0%	0.0%	38.5%	66.5
PJ Tucker	PHX	75	13	1.9%	1.00	13	5	11	45.5	59.1	0.0%	15.4%	0.0%	0.0%	38.5%	66.5
Courtney Lee	CHA	21	13	6.8%	1.00	13	6	11	54.5	54.5	7.7%	15.4%	7.7%	7.7%	46.2%	66.5
Thaddeus Young	BKN	73	14	1.2%	0.93	13	4	8	50.0	50.0	28.6%	14.3%	21.4%	0.0%	50.0%	50.0
Frank Kaminsky	CHA	73	16	2.7%	0.81	13	6	15	40.0	43.3	0.0%	6.3%	0.0%	0.0%	37.5%	32.7
Richard Jefferson	CLE	65	16	4.5%	0.81	13	5	14	35.7	42.9	12.5%	6.3%	6.3%	6.3%	31.3%	32.7
Jerami Grant	PHI	72	18	2.3%	0.72	13	4	13	30.8	34.6	16.7%	11.1%	11.1%	0.0%	33.3%	17.1
Alexis Ajinca	NOP	52	11	3.4%	1.09	12	6	11	54.5	54.5	0.0%	0.0%	0.0%	0.0%	54.5%	81.6
Myles Turner	IND	53	15	2.6%	0.80	12	5	14	35.7	35.7	6.7%	0.0%	6.7%	0.0%	40.0%	30.8
PJ Hairston	CHA	46	16	5.0%	0.75	12	4	13	30.8	34.6	12.5%	6.3%	12.5%	0.0%	37.5%	20.4
Stanley Johnson	DET	69	18	2.5%	0.67	12	5	16	31.3	37.5	0.0%	11.1%	0.0%	0.0%	27.8%	12.8
Marcus Smart	BOS	55	20	3.2%	0.60	12	4	18	22.2	27.8	5.0%	5.0%	5.0%	0.0%	25.0%	8.0
Julius Randle	LAL	74	22	2.2%	0.55	12	6	21	28.6	28.6	4.5%	4.5%	4.5%	4.5%	27.3%	4.4
Channing Frye	ORL	44	22	9.9%	0.55	12	4	20	20.0	30.0	0.0%	9.1%	0.0%	0.0%	18.2%	4.4
