"","game_id","player_id","team_id","team_name","period","shot_distance","loc_x","loc_y"
"114","0041400224","201144","1610612763","Memphis Grizzlies","3",24,19.3,20.15
"115","0041400224","201144","1610612763","Memphis Grizzlies","3",19,-18.5,12.65
"116","0041400224","201144","1610612763","Memphis Grizzlies","3",1,-1.5,4.65
"117","0041400224","201144","1610612763","Memphis Grizzlies","4",10,7.3,12.95
"118","0041400224","201144","1610612763","Memphis Grizzlies","4",10,8.8,10.75
"119","0041400224","201144","1610612763","Memphis Grizzlies","4",8,-2.3,13.55
"120","0041400224","201144","1610612763","Memphis Grizzlies","4",25,-12.3,27.75
"121","0041400225","201144","1610612763","Memphis Grizzlies","1",20,10.5,22.35
"122","0041400225","201144","1610612763","Memphis Grizzlies","2",12,-5.2,17.15
"123","0041400225","201144","1610612763","Memphis Grizzlies","2",11,-11.4,8.35
"124","0041400225","201144","1610612763","Memphis Grizzlies","2",1,1.2,6.65
"125","0041400225","201144","1610612763","Memphis Grizzlies","2",24,-13.6,26.15
"126","0041400225","201144","1610612763","Memphis Grizzlies","3",20,-11.7,21.65
"127","0041400225","201144","1610612763","Memphis Grizzlies","3",3,-2.4,8.05
"128","0041400225","201144","1610612763","Memphis Grizzlies","3",13,-11.6,12.35
"129","0041400225","201144","1610612763","Memphis Grizzlies","3",17,15.4,12.95
"130","0041400225","201144","1610612763","Memphis Grizzlies","3",26,9.2,29.85
"131","0041400226","201144","1610612763","Memphis Grizzlies","1",2,2,7.45
"132","0041400226","201144","1610612763","Memphis Grizzlies","1",25,10.5,28.55
"133","0041400226","201144","1610612763","Memphis Grizzlies","1",24,21.7,17.65
"134","0041400226","201144","1610612763","Memphis Grizzlies","1",7,6.5,8.95
"135","0041400226","201144","1610612763","Memphis Grizzlies","2",1,-1,5.35
"136","0041400226","201144","1610612763","Memphis Grizzlies","2",1,-1,5.85
"137","0041400226","201144","1610612763","Memphis Grizzlies","3",26,18.1,24.95
"138","0041400226","201144","1610612763","Memphis Grizzlies","3",22,22.8,4.15
"139","0041400226","201144","1610612763","Memphis Grizzlies","3",0,0,5.85
"140","0041400226","201144","1610612763","Memphis Grizzlies","4",12,-3,17.35
"141","0041400226","201144","1610612763","Memphis Grizzlies","4",21,-2.9,26.35
"142","0041400226","201144","1610612763","Memphis Grizzlies","4",27,-8.1,31.25
"143","0041400226","201144","1610612763","Memphis Grizzlies","4",25,11.1,27.95
"144","0041400221","201188","1610612763","Memphis Grizzlies","1",7,1.2,12.95
"145","0041400221","201188","1610612763","Memphis Grizzlies","1",16,-10.6,17.85
"146","0041400221","201188","1610612763","Memphis Grizzlies","1",10,0,15.95
"147","0041400221","201188","1610612763","Memphis Grizzlies","2",18,-0.4,24.15
"148","0041400221","201188","1610612763","Memphis Grizzlies","3",12,-3.7,17.15
"149","0041400221","201188","1610612763","Memphis Grizzlies","3",10,0.1,16.05
"150","0041400221","201188","1610612763","Memphis Grizzlies","4",9,-0.7,14.55
"151","0041400221","201188","1610612763","Memphis Grizzlies","4",11,-4.6,15.75
"152","0041400221","201188","1610612763","Memphis Grizzlies","4",7,1.3,12.75
"153","0041400221","201188","1610612763","Memphis Grizzlies","4",24,-19.8,20.05
"154","0041400222","201188","1610612763","Memphis Grizzlies","1",17,-0.4,23.05
"155","0041400222","201188","1610612763","Memphis Grizzlies","2",1,-0.4,6.75
"156","0041400222","201188","1610612763","Memphis Grizzlies","2",10,0,15.75
"157","0041400222","201188","1610612763","Memphis Grizzlies","2",13,-13.8,6.95
"158","0041400222","201188","1610612763","Memphis Grizzlies","3",16,-0.4,21.25
"159","0041400222","201188","1610612763","Memphis Grizzlies","3",11,-0.7,17.15
"160","0041400222","201188","1610612763","Memphis Grizzlies","3",8,6.7,9.65
"161","0041400222","201188","1610612763","Memphis Grizzlies","4",6,-4.3,10.75
"162","0041400222","201188","1610612763","Memphis Grizzlies","4",18,-1.3,23.85
"163","0041400222","201188","1610612763","Memphis Grizzlies","4",13,6.1,17.55
"164","0041400223","201188","1610612763","Memphis Grizzlies","1",11,-0.7,16.85
"165","0041400223","201188","1610612763","Memphis Grizzlies","1",8,0.6,13.25
"166","0041400223","201188","1610612763","Memphis Grizzlies","1",1,-1,5.65
"167","0041400223","201188","1610612763","Memphis Grizzlies","2",3,1.3,8.25
"168","0041400223","201188","1610612763","Memphis Grizzlies","2",4,-4,6.35
"169","0041400223","201188","1610612763","Memphis Grizzlies","2",18,9.1,21.25
"170","0041400223","201188","1610612763","Memphis Grizzlies","2",2,2.1,5.65
"171","0041400223","201188","1610612763","Memphis Grizzlies","2",2,2.9,5.25
"172","0041400223","201188","1610612763","Memphis Grizzlies","2",18,-6.4,22.25
"173","0041400223","201188","1610612763","Memphis Grizzlies","3",1,1.1,5.85
"174","0041400223","201188","1610612763","Memphis Grizzlies","3",16,-5.1,21.25
"175","0041400223","201188","1610612763","Memphis Grizzlies","3",1,-1.6,5.65
"176","0041400223","201188","1610612763","Memphis Grizzlies","3",2,-2.3,4.95
"177","0041400223","201188","1610612763","Memphis Grizzlies","4",9,-6.7,11.95
"178","0041400223","201188","1610612763","Memphis Grizzlies","4",8,0.1,13.85
"179","0041400223","201188","1610612763","Memphis Grizzlies","4",1,1,5.05
"180","0041400223","201188","1610612763","Memphis Grizzlies","4",23,-9.7,26.35
"181","0041400224","201188","1610612763","Memphis Grizzlies","1",7,2.9,12.65
"182","0041400224","201188","1610612763","Memphis Grizzlies","1",0,0,5.35
"183","0041400224","201188","1610612763","Memphis Grizzlies","1",16,-16,9.45
"184","0041400224","201188","1610612763","Memphis Grizzlies","1",5,2.4,9.75
"185","0041400224","201188","1610612763","Memphis Grizzlies","1",16,-10.6,17.65
"186","0041400224","201188","1610612763","Memphis Grizzlies","2",7,-7.1,7.45
"187","0041400224","201188","1610612763","Memphis Grizzlies","2",1,-0.2,6.65
"188","0041400224","201188","1610612763","Memphis Grizzlies","2",9,-4.6,13.55
"189","0041400224","201188","1610612763","Memphis Grizzlies","2",2,-2.4,5.55
"190","0041400224","201188","1610612763","Memphis Grizzlies","2",2,2.4,4.65
"191","0041400224","201188","1610612763","Memphis Grizzlies","2",1,0.2,6.75
"192","0041400224","201188","1610612763","Memphis Grizzlies","2",1,-1.5,5.85
"193","0041400224","201188","1610612763","Memphis Grizzlies","2",2,2.1,6.35
"194","0041400224","201188","1610612763","Memphis Grizzlies","2",1,-0.5,6.45
"195","0041400224","201188","1610612763","Memphis Grizzlies","3",3,-3.7,6.45
"196","0041400224","201188","1610612763","Memphis Grizzlies","3",0,0.9,5.55
"197","0041400224","201188","1610612763","Memphis Grizzlies","3",0,0,5.35
"198","0041400224","201188","1610612763","Memphis Grizzlies","4",2,-0.7,7.25
"199","0041400224","201188","1610612763","Memphis Grizzlies","4",2,2.6,4.75
"200","0041400225","201188","1610612763","Memphis Grizzlies","1",11,-4,16.25
"201","0041400225","201188","1610612763","Memphis Grizzlies","1",11,-7.1,14.65
"202","0041400225","201188","1610612763","Memphis Grizzlies","1",7,3.2,11.85
"203","0041400225","201188","1610612763","Memphis Grizzlies","1",5,0.2,10.55
"204","0041400225","201188","1610612763","Memphis Grizzlies","1",19,8.8,22.45
"205","0041400225","201188","1610612763","Memphis Grizzlies","1",14,-7.1,17.35
"206","0041400225","201188","1610612763","Memphis Grizzlies","2",14,-14.2,8.65
"207","0041400225","201188","1610612763","Memphis Grizzlies","2",9,9.2,7.25
"208","0041400225","201188","1610612763","Memphis Grizzlies","2",3,-1.6,8.65
"209","0041400225","201188","1610612763","Memphis Grizzlies","2",2,-2.1,6.75
"210","0041400225","201188","1610612763","Memphis Grizzlies","2",13,6.4,16.85
"211","0041400225","201188","1610612763","Memphis Grizzlies","3",17,-11.4,19.05
"212","0041400225","201188","1610612763","Memphis Grizzlies","3",7,-7.1,7.75
"213","0041400225","201188","1610612763","Memphis Grizzlies","3",19,-2.6,24.25
"214","0041400225","201188","1610612763","Memphis Grizzlies","3",9,6.5,11.55
"215","0041400225","201188","1610612763","Memphis Grizzlies","3",16,1.3,21.95
"216","0041400225","201188","1610612763","Memphis Grizzlies","3",0,0,5.35
"217","0041400225","201188","1610612763","Memphis Grizzlies","3",6,-0.5,11.95
