"","grid_type","game_id","game_event_id","player_id","player_name","team_id","team_name","period","minutes_remaining","seconds_remaining","event_type","action_type","shot_type","shot_zone_basic","shot_zone_area","shot_zone_range","shot_distance","loc_x","loc_y","shot_attempted_flag","shot_made_flag","shot_made_numeric","shot_value"
"61","Shot Chart Detail",21400068,154,201939,"Stephen Curry",1610612744,"Golden State Warriors",2,6,18,"Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",17,-9.5,20.35,1,"made",1,2
"62","Shot Chart Detail",21400068,180,201939,"Stephen Curry",1610612744,"Golden State Warriors",2,3,30,"Made Shot","Step Back Jump shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",26,16.6,25.55,1,"made",1,3
"63","Shot Chart Detail",21400068,183,201939,"Stephen Curry",1610612744,"Golden State Warriors",2,3,11,"Missed Shot","Step Back Jump shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",25,3.1,31.05,1,"missed",0,3
"64","Shot Chart Detail",21400068,203,201939,"Stephen Curry",1610612744,"Golden State Warriors",2,0,22,"Made Shot","Pullup Jump shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.",24,-23.1,12.65,1,"made",1,3
"65","Shot Chart Detail",21400068,212,201939,"Stephen Curry",1610612744,"Golden State Warriors",3,11,13,"Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.",22,22.6,6.15,1,"missed",0,3
"66","Shot Chart Detail",21400068,355,201939,"Stephen Curry",1610612744,"Golden State Warriors",4,10,54,"Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",17,-10.1,19.85,1,"missed",0,2
"67","Shot Chart Detail",21400068,359,201939,"Stephen Curry",1610612744,"Golden State Warriors",4,10,38,"Missed Shot","Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",4,3.7,8.05,1,"missed",0,2
"68","Shot Chart Detail",21400068,367,201939,"Stephen Curry",1610612744,"Golden State Warriors",4,9,59,"Missed Shot","Driving Jump shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",3,-0.4,8.65,1,"missed",0,2
"69","Shot Chart Detail",21400068,393,201939,"Stephen Curry",1610612744,"Golden State Warriors",4,8,16,"Made Shot","Step Back Jump shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.",17,17.6,8.65,1,"made",1,2
"70","Shot Chart Detail",21400068,395,201939,"Stephen Curry",1610612744,"Golden State Warriors",4,7,38,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",27,19.2,24.95,1,"missed",0,3
