"","player_id","player_name","team_id","team_name","period","minutes_remaining","seconds_remaining","shot_zone_basic","shot_zone_area","shot_zone_range","shot_distance","loc_x","loc_y","shot_made_numeric","shot_value","time","shot_type","shot_zone"
"355",201939,"Stephen Curry",1610612744,"Golden State Warriors",2,0,38,"Above the Break 3","Right Side Center(RC)","24+ ft.",23,19.3,19.25,0,3,1402,"Jump",4
"356",201939,"Stephen Curry",1610612744,"Golden State Warriors",2,0,6,"In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",7,-5.6,10.45,1,2,1434,"Jump",1
"357",201939,"Stephen Curry",1610612744,"Golden State Warriors",3,10,32,"Above the Break 3","Right Side Center(RC)","24+ ft.",24,16.8,23.35,0,3,1528,"Jump",4
"358",201939,"Stephen Curry",1610612744,"Golden State Warriors",3,8,26,"Mid-Range","Left Side(L)","16-24 ft.",21,-21,9.45,0,2,1654,"Jump",3
"359",201939,"Stephen Curry",1610612744,"Golden State Warriors",3,5,25,"Above the Break 3","Left Side Center(LC)","24+ ft.",25,-14.9,26.05,0,3,1835,"Jump",4
"360",201939,"Stephen Curry",1610612744,"Golden State Warriors",3,2,25,"Restricted Area","Center(C)","Less Than 8 ft.",1,0,6.65,1,2,2015,"Bank",1
"361",201939,"Stephen Curry",1610612744,"Golden State Warriors",3,2,5,"Mid-Range","Left Side Center(LC)","16-24 ft.",19,-10.5,21.15,0,2,2035,"Jump",3
"362",201939,"Stephen Curry",1610612744,"Golden State Warriors",4,7,5,"In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",5,5,6.45,1,2,2455,"Bank",1
"363",201939,"Stephen Curry",1610612744,"Golden State Warriors",4,6,17,"Above the Break 3","Center(C)","24+ ft.",24,-0.4,29.65,0,3,2503,"Jump",4
"364",201939,"Stephen Curry",1610612744,"Golden State Warriors",4,3,15,"Mid-Range","Left Side Center(LC)","16-24 ft.",17,-6.7,21.15,0,2,2685,"Jump",3
"365",201939,"Stephen Curry",1610612744,"Golden State Warriors",4,1,39,"In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",7,6.5,8.95,0,2,2781,"Jump",1
"366",201939,"Stephen Curry",1610612744,"Golden State Warriors",1,10,58,"Restricted Area","Center(C)","Less Than 8 ft.",1,-1.1,6.35,0,2,62,"Layup",1
"367",201939,"Stephen Curry",1610612744,"Golden State Warriors",1,10,10,"Mid-Range","Right Side Center(RC)","16-24 ft.",16,8.3,19.55,1,2,110,"Jump",3
"368",201939,"Stephen Curry",1610612744,"Golden State Warriors",1,9,15,"Above the Break 3","Left Side Center(LC)","24+ ft.",25,-15.5,25.05,1,3,165,"Jump",4
"369",201939,"Stephen Curry",1610612744,"Golden State Warriors",1,8,44,"Above the Break 3","Right Side Center(RC)","24+ ft.",25,17.1,23.55,0,3,196,"Jump",4
"370",201939,"Stephen Curry",1610612744,"Golden State Warriors",1,7,59,"Restricted Area","Center(C)","Less Than 8 ft.",2,-2.7,6.35,1,2,241,"Layup",1
"371",201939,"Stephen Curry",1610612744,"Golden State Warriors",1,6,40,"Above the Break 3","Right Side Center(RC)","24+ ft.",24,14.6,25.25,1,3,320,"Jump",4
"372",201939,"Stephen Curry",1610612744,"Golden State Warriors",1,5,37,"Above the Break 3","Center(C)","24+ ft.",25,3.2,30.95,1,3,383,"Jump",4
"373",201939,"Stephen Curry",1610612744,"Golden State Warriors",2,4,55,"Mid-Range","Left Side Center(LC)","16-24 ft.",21,-7.5,25.75,1,2,1145,"Jump",3
"374",201939,"Stephen Curry",1610612744,"Golden State Warriors",2,2,57,"In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",4,2.4,8.95,0,2,1263,"Jump",1
"375",201939,"Stephen Curry",1610612744,"Golden State Warriors",2,0,1,"Mid-Range","Center(C)","16-24 ft.",18,-2.7,23.55,0,2,1439,"Jump",3
"376",201939,"Stephen Curry",1610612744,"Golden State Warriors",3,9,16,"Above the Break 3","Left Side Center(LC)","24+ ft.",25,-8.4,29.35,1,3,1604,"Jump",4
"377",201939,"Stephen Curry",1610612744,"Golden State Warriors",3,8,22,"Above the Break 3","Center(C)","24+ ft.",27,-0.7,32.35,0,3,1658,"Jump",4
"378",201939,"Stephen Curry",1610612744,"Golden State Warriors",3,6,35,"Restricted Area","Center(C)","Less Than 8 ft.",1,-1.8,5.35,1,2,1765,"Layup",1
"379",201939,"Stephen Curry",1610612744,"Golden State Warriors",3,4,29,"Mid-Range","Left Side Center(LC)","16-24 ft.",20,-6.8,24.15,0,2,1891,"Jump",3
"380",201939,"Stephen Curry",1610612744,"Golden State Warriors",4,5,38,"Above the Break 3","Right Side Center(RC)","24+ ft.",24,10.6,27.75,0,3,2542,"Jump",4
"381",201939,"Stephen Curry",1610612744,"Golden State Warriors",4,5,11,"Above the Break 3","Center(C)","24+ ft.",25,-3.2,30.95,0,3,2569,"Jump",4
"382",201939,"Stephen Curry",1610612744,"Golden State Warriors",4,1,34,"Mid-Range","Left Side(L)","8-16 ft.",8,-8.9,5.95,0,2,2786,"Jump",2
"383",201939,"Stephen Curry",1610612744,"Golden State Warriors",5,4,35,"In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",5,4.7,8.85,1,2,3325,"Jump",1
"384",201939,"Stephen Curry",1610612744,"Golden State Warriors",5,3,27,"Above the Break 3","Right Side Center(RC)","24+ ft.",25,8.8,29.45,1,3,3393,"Jump",4
"385",201939,"Stephen Curry",1610612744,"Golden State Warriors",5,2,37,"Above the Break 3","Left Side Center(LC)","24+ ft.",26,-16.3,25.85,1,3,3443,"Jump",4
"386",201939,"Stephen Curry",1610612744,"Golden State Warriors",5,0,33,"Restricted Area","Center(C)","Less Than 8 ft.",2,-2.4,6.15,0,2,3567,"Layup",1
"387",201939,"Stephen Curry",1610612744,"Golden State Warriors",1,8,26,"Mid-Range","Left Side Center(LC)","16-24 ft.",20,-15,19.05,1,2,214,"Jump",3
"388",201939,"Stephen Curry",1610612744,"Golden State Warriors",1,8,1,"Above the Break 3","Center(C)","24+ ft.",29,7.7,33.75,0,3,239,"Jump",4
"389",201939,"Stephen Curry",1610612744,"Golden State Warriors",1,6,38,"Restricted Area","Center(C)","Less Than 8 ft.",1,-1.1,6.45,1,2,322,"Layup",1
