"","person_id","display_last_comma_first","display_first_last","rosterstatus","from_year","to_year","playercode","team_id","team_city","team_name","team_abbreviation","team_code","games_played_flag","name"
"61",201147,"Brewer, Corey","Corey Brewer",TRUE,2007,2015,"corey_brewer",1610612745,"Houston","Rockets","HOU","rockets","Y","Corey Brewer"
"62",201166,"Brooks, Aaron","Aaron Brooks",TRUE,2007,2015,"aaron_brooks",1610612741,"Chicago","Bulls","CHI","bulls","Y","Aaron Brooks"
"63",1626148,"Brown, Anthony","Anthony Brown",TRUE,2015,2015,"anthony_brown",1610612747,"Los Angeles","Lakers","LAL","lakers","Y","Anthony Brown"
"64",203485,"Brown, Lorenzo","Lorenzo Brown",TRUE,2013,2015,"lorenzo_brown",1610612765,"Detroit","Pistons","DET","pistons","Y","Lorenzo Brown"
"65",203900,"Brown, Markel","Markel Brown",TRUE,2014,2015,"markel_brown",1610612751,"Brooklyn","Nets","BKN","nets","Y","Markel Brown"
"66",977,"Bryant, Kobe","Kobe Bryant",TRUE,1996,2015,"kobe_bryant",1610612747,"Los Angeles","Lakers","LAL","lakers","Y","Kobe Bryant"
"67",201978,"Budinger, Chase","Chase Budinger",TRUE,2009,2015,"chase_budinger",1610612756,"Phoenix","Suns","PHX","suns","Y","Chase Budinger"
"68",203493,"Bullock, Reggie","Reggie Bullock",TRUE,2013,2015,"reggie_bullock",1610612765,"Detroit","Pistons","DET","pistons","Y","Reggie Bullock"
"69",203504,"Burke, Trey","Trey Burke",TRUE,2013,2015,"trey_burke",1610612762,"Utah","Jazz","UTA","jazz","Y","Trey Burke"
"70",202692,"Burks, Alec","Alec Burks",TRUE,2011,2015,"alec_burks",1610612762,"Utah","Jazz","UTA","jazz","Y","Alec Burks"
"71",2406,"Butler, Caron","Caron Butler",TRUE,2002,2015,"caron_butler",1610612758,"Sacramento","Kings","SAC","kings","Y","Caron Butler"
