"","group_set","player1","player2","player3","player4","player5","group_name","team_id","team_abbreviation","gp","w","l","w_pct","min","off_rating","def_rating","net_rating","ast_pct","ast_to","ast_ratio","oreb_pct","dreb_pct","reb_pct","tm_tov_pct","efg_pct","ts_pct","pace","pie","group_quantity"
"289","Lineups","201143 "," 200794 "," 201952",NA,NA,"Horford,Al - Millsap,Paul - Teague,Jeff","1610612737","ATL","65","47","18","0.723","1200","109.8","103.1","6.6","0.708","2.01","21.4","0.211","0.729","0.477","0.147","0.55","0.583","96.84","0.547",3
"290","Lineups","201144 "," 201584 "," 2216",NA,NA,"Conley,Mike - Lee,Courtney - Randolph,Zach","1610612763","MEM","55","39","16","0.709","1195","106","101","5","0.577","1.69","17.4","0.232","0.741","0.489","0.137","0.503","0.55","93.97","0.546",3
"291","Lineups","203078 "," 1718 "," 202322",NA,NA,"Beal,Bradley - Pierce,Paul - Wall,John","1610612764","WAS","55","30","25","0.545","1187","105.7","98.1","7.6","0.637","1.75","19.3","0.226","0.8","0.513","0.15","0.527","0.558","97.64","0.546",3
"292","Lineups","101106 "," 201939 "," 203110",NA,NA,"Bogut,Andrew - Curry,Stephen - Green,Draymond","1610612744","GSW","63","55","8","0.873","1184","114.6","94.9","19.7","0.676","2.07","21.3","0.23","0.771","0.513","0.143","0.577","0.601","100.66","0.603",3
"293","Lineups","101106 "," 201939 "," 202691",NA,NA,"Bogut,Andrew - Curry,Stephen - Thompson,Klay","1610612744","GSW","62","55","7","0.887","1181","115","96.1","19","0.678","2.11","21.4","0.227","0.772","0.513","0.141","0.576","0.602","100.85","0.597",3
"294","Lineups","201587 "," 203081 "," 202083",NA,NA,"Batum,Nicolas - Lillard,Damian - Matthews,Wesley","1610612757","POR","53","34","19","0.642","1177","106.5","98.3","8.2","0.561","1.68","16.5","0.256","0.764","0.514","0.132","0.499","0.54","97.96","0.547",3
"295","Lineups","201960 "," 201143 "," 2594",NA,NA,"Carroll,DeMarre - Horford,Al - Korver,Kyle","1610612737","ATL","65","50","15","0.769","1174","109.8","100.7","9.1","0.72","2.01","21.9","0.211","0.727","0.481","0.151","0.556","0.588","97.03","0.563",3
"296","Lineups","200746 "," 203081 "," 201577",NA,NA,"Aldridge,LaMarcus - Lillard,Damian - Lopez,Robin","1610612757","POR","53","37","16","0.698","1172","106.3","103.2","3.1","0.552","1.65","16.7","0.241","0.762","0.513","0.135","0.505","0.546","95.98","0.527",3
"297","Lineups","201600 "," 203076 "," 201936",NA,NA,"Asik,Omer - Davis,Anthony - Evans,Tyreke","1610612740","NOP","61","35","26","0.574","1167","105.5","100.7","4.8","0.619","1.73","18.7","0.278","0.796","0.535","0.15","0.513","0.54","94.01","0.527",3
"298","Lineups","2199 "," 101145 "," 1717",NA,NA,"Chandler,Tyson - Ellis,Monta - Nowitzki,Dirk","1610612742","DAL","71","44","27","0.62","1162","109.6","104.9","4.7","0.592","1.83","18.5","0.234","0.743","0.485","0.137","0.532","0.567","96.56","0.53",3
