Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
Thomas Robinson	BKN	62	43	12.4%	1.00	43	17	32	53.1	53.1	16.3%	9.3%	11.6%	0.0%	55.8%	13.4
Devin Harris	DAL	59	26	5.9%	1.62	42	19	22	86.4	86.4	11.5%	3.8%	11.5%	0.0%	84.6%	95.9
CJ McCollum	POR	74	34	2.1%	1.24	42	19	30	63.3	63.3	5.9%	5.9%	5.9%	0.0%	61.8%	56.7
Nikola Mirotic	CHI	59	37	5.4%	1.14	42	16	28	57.1	57.1	16.2%	8.1%	16.2%	0.0%	59.5%	36.8
DeMar DeRozan	TOR	74	25	1.4%	1.64	41	17	21	81.0	81.0	20.0%	4.0%	16.0%	8.0%	80.0%	98.2
Tony Parker	SAS	67	25	2.9%	1.64	41	18	22	81.8	81.8	12.0%	0.0%	12.0%	0.0%	84.0%	98.2
Arron Afflalo	NYK	66	27	3.1%	1.52	41	17	22	77.3	77.3	22.2%	7.4%	14.8%	11.1%	74.1%	92.7
Danny Green	SAS	73	31	5.0%	1.29	40	18	26	69.2	69.2	6.5%	9.7%	6.5%	0.0%	64.5%	65.5
Hollis Thompson	PHI	72	34	4.7%	1.18	40	18	31	58.1	58.1	11.8%	5.9%	11.8%	8.8%	55.9%	44.2
Noah Vonleh	POR	71	38	11.5%	1.05	40	17	33	51.5	51.5	18.4%	5.3%	18.4%	10.5%	50.0%	22.2
Johnny OBryant	MIL	55	45	20.0%	0.89	40	15	38	39.5	39.5	17.8%	4.4%	17.8%	6.7%	44.4%	4.4
Jrue Holiday	NOP	65	24	2.0%	1.63	39	17	20	85.0	85.0	12.5%	4.2%	12.5%	0.0%	83.3%	96.5
Marco Belinelli	SAC	68	29	3.8%	1.34	39	15	20	75.0	75.0	17.2%	13.8%	13.8%	0.0%	69.0%	73.1
Boban Marjanovic	SAS	41	31	14.0%	1.26	39	14	23	60.9	60.9	25.8%	9.7%	25.8%	9.7%	61.3%	60.8
Jusuf Nurkic	DEN	27	33	12.6%	1.18	39	14	21	66.7	66.7	27.3%	12.1%	27.3%	3.0%	66.7%	45.2
Andre Iguodala	GSW	60	34	7.5%	1.15	39	18	26	69.2	69.2	17.6%	11.8%	11.8%	5.9%	55.9%	40.4
Meyers Leonard	POR	61	38	7.2%	1.03	39	19	31	61.3	61.3	2.6%	15.8%	2.6%	0.0%	52.6%	19.3
Mike Dunleavy	CHI	25	24	12.3%	1.58	38	16	22	72.7	72.7	20.8%	0.0%	20.8%	12.5%	75.0%	94.7
Donald Sloan	BKN	56	38	8.9%	1.00	38	14	27	51.9	51.9	15.8%	15.8%	13.2%	2.6%	50.0%	13.4
